MsgID.GLOBAL_POSITION,0.0000000,-122.3957517,37.7932818,3.6070000
MsgID.LOCAL_VELOCITY,0.0000000,0.0200000,-0.0100000,0.5900000
MsgID.LOCAL_POSITION,114.4380000,0.0307526,0.0137050,-3.6070402
MsgID.LOCAL_VELOCITY,114.4380000,0.0288313,-0.0173289,0.5970124
MsgID.GLOBAL_POSITION,0.0000000,-122.3957514,37.7932831,3.2730000
MsgID.LOCAL_VELOCITY,0.0000000,0.0200000,-0.0100000,1.6700000
MsgID.LOCAL_POSITION,114.6880000,0.1724817,0.0405271,-3.2731414
MsgID.LOCAL_VELOCITY,114.6880000,0.0270153,-0.0106710,1.6733493
MsgID.LOCAL_POSITION,114.9380000,0.1292011,-0.1186668,-2.8397980
MsgID.LOCAL_VELOCITY,114.9380000,-0.0032812,0.0006032,0.5148442
MsgID.GLOBAL_POSITION,0.0000000,-122.3957532,37.7932827,2.8390000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.5100000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957526,37.7932809,2.8710000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0200000,-0.8800000
MsgID.LOCAL_POSITION,115.1880000,-0.0668227,-0.0663162,-2.8710692
MsgID.LOCAL_VELOCITY,115.1880000,-0.0056821,0.0206741,-0.8807811
MsgID.GLOBAL_POSITION,0.0000000,-122.3957516,37.7932828,3.0170000
MsgID.LOCAL_VELOCITY,0.0000000,0.0400000,0.0100000,-0.3200000
MsgID.LOCAL_POSITION,115.4390000,0.1391352,0.0276024,-3.0175669
MsgID.LOCAL_VELOCITY,115.4390000,0.0471045,0.0198965,-0.3276306
MsgID.GLOBAL_POSITION,0.0000000,-122.3957515,37.7932838,2.9800000
MsgID.LOCAL_VELOCITY,0.0000000,0.9000000,0.0100000,0.0900000
MsgID.LOCAL_POSITION,115.6890000,0.2538300,0.0355290,-2.9807248
MsgID.LOCAL_VELOCITY,115.6890000,0.9017719,0.0184125,0.0984360
MsgID.GLOBAL_POSITION,0.0000000,-122.3957504,37.7932870,2.9620000
MsgID.LOCAL_VELOCITY,0.0000000,2.5100000,0.0000000,-0.1600000
